predictor,domain,admin1,ks_stat,ks_pval,significant
gw_wealth,GW,Region_A,0.04874380165289256,0.9641357171794089,False
gw_wealth,GW,Region_B,0.060814814814814815,0.7997902383532629,False
gw_wealth,GW,Region_C,0.04519402985074627,0.9740649850344493,False
gw_wealth,GW,Region_D,0.06454545454545454,0.8202257885467573,False
gw_diet,GW,Region_A,0.12239669421487603,0.09799169331001883,False
gw_diet,GW,Region_B,0.07296296296296297,0.5930671696589912,False
gw_diet,GW,Region_C,0.0931044776119403,0.2969106876049963,False
gw_diet,GW,Region_D,0.050727272727272725,0.9640397027109849,False
gw_month,GW,Region_A,0.04687603305785124,0.9747253357062693,False
gw_month,GW,Region_B,0.034074074074074076,0.9992256366318326,False
gw_month,GW,Region_C,0.08328358208955224,0.42871198022362317,False
gw_month,GW,Region_D,0.08854545454545455,0.45079717463891317,False
dhs_wasting,DHS,Region_A,0.758,1.4646022381185235e-56,True
dhs_wasting,DHS,Region_B,0.488,1.2827691174836697e-23,True
dhs_wasting,DHS,Region_C,0.732,2.170964515540205e-56,True
dhs_wasting,DHS,Region_D,0.512,3.109632548870949e-22,True
dhs_anaemia,DHS,Region_A,0.488,1.0381006051573578e-21,True
dhs_anaemia,DHS,Region_B,0.73,2.348433180994277e-56,True
dhs_anaemia,DHS,Region_C,0.512,5.997604591473184e-26,True
dhs_anaemia,DHS,Region_D,0.78,3.3799143508453975e-56,True
mics_ebf,MICS,Region_A,0.758,1.4646022381185235e-56,True
mics_ebf,MICS,Region_B,0.488,1.2827691174836697e-23,True
mics_ebf,MICS,Region_C,0.732,2.170964515540205e-56,True
mics_ebf,MICS,Region_D,0.512,3.109632548870949e-22,True
